"Category","Item","Value","Reviewer_check"
"Table_Caption","Table 1H: Reviewer-facing model metadata, parameters and collinearity diagnostics","",""
"Cohort metadata","GSE26050 sample source","PBMC; Affymetrix GPL570; 11 untreated FHL vs 30 healthy paediatric controls","GEO accession and Methods dataset overview"
"Cohort metadata","Unavailable metadata","Individual-level genotype, treatment documentation, age-by-sample and batch labels unavailable in public GEO files; treatment status relies on deposited untreated metadata","Limitations and sensitivity simulation"
"Model formula","Unadjusted limma","expr_g ~ group","group coefficient is the unadjusted bulk DE coefficient"
"Model formula","Raw-weight adjusted limma","expr_g ~ group + CD4_Tcells + Erythrocytes + Neutrophils + Macrophages","lineage-level coefficient-sensitivity model; raw weights are closed relative quantities"
"Model formula","ILR adjusted limma","expr_g ~ group + ILR7 + ILR6 + ILR5 + ILR3","orthonormal-balance sensitivity model used to audit closed-composition geometry"
"Primary parameters","Marker sets","8 lineages; 66 marker entries; 58 unique genes; 7-9 markers per lineage","Supplementary Table S2"
"Primary parameters","FHL covariate count","top_cts=4 for the FHL worked example; generic benchmark screens use top_cts=3 unless stated otherwise","k-sensitivity scan in Supplementary Figure S6"
"Primary parameters","CCI denominator threshold","primary CCI requires |logFC_unadj| > 0.1; stabilised CCI uses max(|logFC_unadj|, 0.1)","threshold scan across 0.05-0.50"
"Primary parameters","Bootstrap and permutation","200 marker-dropout bootstraps with 20% marker dropout; 1000 label permutations; seeds 42, 2026 and 31415 for ILR multiseed audit","Supplementary Tables S4, S8 and S11"
"Collinearity diagnostic","Raw selected weights","CD4_Tcells VIF=1.1269e+06; Erythrocytes VIF=4.2342e+05; Neutrophils VIF=3.6569e+05; Macrophages VIF=2.3242e+05","max VIF=1.1269e+06; condition number=3951."
"Collinearity diagnostic","Selected ILR coordinates","ILR7 VIF=1.116; ILR6 VIF=1.367; ILR5 VIF=1.233; ILR3 VIF=1.284","max VIF=1.367; condition number=2.441"
"Interpretation guardrail","Panel status","The 20-gene ferroptosis/iron/immune panel is a targeted diagnostic panel curated before interpreting the final CCI ranks; panel results are exploratory and not confirmatory","prevents post-hoc mechanism overclaiming"
"Interpretation guardrail","Collinearity interpretation","raw selected weights max VIF=1.1269e+06, condition number=3951.; selected ILR coordinates max VIF=1.367, condition number=2.441; raw lineage covariates are therefore interpreted with ILR and bootstrap concordance rather than as independent causal effects","addresses small-N adjusted-model overfitting and closed-composition collinearity"
